Year,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CAMS-CSM1-0,CESM2,CESM2-WACCM,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,EC-Earth3,EC-Earth3-Veg,FGOALS-f3-L,GFDL-CM4,GFDL-ESM4,HadGEM3-GC31-LL,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,UKESM1-0-LL
2078,0.093881361,0.377947122,7.59E-05,2.16466403,4.751571655,0.137694091,0.347470045,0.292196244,0.461628407,0.076809414,0.101232223,0.083094299,0.407464743,0.006563856,0.358768106,0.018,5.181838036,4.122507572,0.007594489,0.028943345,0.117715843,1.113942504,0.559286416,0.19759805,0.037207402,1.616276264,0.005
2079,0.039850872,0.220482647,0.11609111,1.929831028,4.998436451,0.270943105,0.247044042,1.099008799,0.71014905,0.093233243,0.000543477,0.054810245,0.331675589,0.480102211,2.014363766,0.006,5.025894165,4.582327843,0.000611831,0.138526306,0.298448056,0.999426842,0.821743369,0.079357876,0.036445517,1.301946044,0.004
2080,0.034381021,0.188639626,0.641579151,2.148759127,4.4155159,0.205843881,0.144095123,0.48268494,0.018811742,0.132618859,0.043904211,0.050761405,0.290271491,0.512470245,1.353359818,0.032,5.097919941,4.036649704,0.033156864,0.115176454,0.092430539,0.289938688,0.193360671,0.253614534,0.052166317,1.989094734,0.013
2081,0.056788657,0.207985133,0.803362906,2.145236015,4.333368301,0.16408588,0.080024198,2.505876541,1.678885818,0.030396855,1.014666557,0.023524236,0.320769131,1.524770498,1.857445002,0.029,4.886647701,3.447003365,0.047738481,0.000522732,0.141190872,0.205906883,0.740442455,0.035916261,0.042219862,1.10163331,0.003
2082,0.060803067,0.143262595,0.04245197,1.768213153,5.229310513,0.189313799,0.118735723,1.601721525,1.573075056,0.122444578,0.105495542,0.018550454,0.321271569,1.019399643,1.840152144,0.008,5.275947571,3.547078848,0.002942811,0.009867243,0.256155938,0.412385613,0.858718395,0.221435549,0.052669831,1.463910818,0.01
2083,0.057501622,0.247908071,0.036036581,0.350482553,3.807047844,0.186847642,0.116579682,2.908584833,1.032719731,0.002219491,0.413537145,0.091490924,0.318899274,1.01953733,1.819966316,0.005,4.787230015,4.244012356,0.045078464,0.100111,0.134869665,0.101813227,0.723189294,0.064784589,0.160470665,0.820990145,0.004
2084,0.02126589,0.226495579,0.00020197,0.488483906,4.224135876,0.118603922,0.117566735,0.072224051,0.019158525,0.04467481,0.069696866,0.045721047,0.285505086,0.131537452,0.193885013,0.007,5.592226028,5.007603168,0.048233088,0.083719082,0.141348615,0.003951704,0.294569045,0.043316649,0.109904855,1.283417821,0.016
2085,0.045538422,0.186385632,0.006194897,1.282746911,4.542096615,0.199256659,0.1609997,1.559649467,0.039803207,0.053380154,0.270220667,0.026539691,0.274600834,0.002874117,1.369926453,0.003,4.789788246,3.850777149,0.008285559,0.156636074,0.091987193,0.31006828,0.539374292,0.465934212,0.06912829,0.894239843,0.005
2086,0.087955423,0.102939293,0.117444046,1.917892337,4.219734669,0.09675663,0.217956379,1.705678225,0.984764814,0.015757252,0.055626508,0.0252758,0.256839931,0.081850871,0.984670699,0.02,5.329711914,3.566746235,0.013114825,0.113865703,0.191326559,0.401016146,0.504916668,0.074482465,0.064271443,0.415059984,0.003
2087,0.081791379,0.299705148,0.785308897,1.975631595,4.504286766,0.134721488,0.3070997,2.213534594,0.309143096,0.037547283,0.074447319,0.000443501,0.289423138,0.344469279,0.668823898,0.007,5.352950096,3.395105839,0.005223992,0.130437776,0.107637435,0.082877398,0.581799507,0.072102144,0.057641678,0.553595662,0.003
2088,0.041076098,0.175038502,0.296782076,1.809207559,4.613983154,0.114891686,0.088692844,0.911755204,0.522911072,0.081101522,0.009077685,0.021062685,0.190450668,0.00201983,1.303801894,0.009,4.490445614,4.063127518,0.009014377,0.503290296,0.064351119,0.274250507,0.394625306,0.045632595,0.036054585,0.949161351,0.004
2089,0.035813078,0.228272453,0.052229397,1.806140184,4.010784149,0.167707667,0.066406094,0.105997495,0.030306304,0.079829544,0.017423481,1.84E-05,0.21781002,0.003471412,0.011957083,0.005,4.78629303,4.062757015,0.010260659,0.130258217,0.365640163,0.361803174,0.278295904,0.533038088,0.046835821,1.461319566,0.002
2090,0.017180694,0.215995818,0.000782416,1.077872157,4.009877205,0.151842058,0.13612707,0.934462726,0.013829773,0.017940747,0.06884741,0.000367121,0.243215919,0.004269892,1.238354206,0.008,3.960813046,4.301568031,0.017389283,0.038212247,0.432786703,0.410402238,0.192656234,0.076991396,0.067519777,1.231289148,0.004
2091,0.03794523,0.113432236,0.065020889,0.068155371,3.818144798,0.147176057,0.121929727,0.478198588,0.028132165,0.017957384,0.027053116,0.002193198,0.213561401,0.001653262,0.812343478,0.004,4.595533371,3.992868423,5.35E-07,0.005108465,0.164119944,0.01085883,0.222924441,0.027735307,0.060527973,0.538551211,0.003
2092,0.022637088,0.15236786,0.030148465,1.911251903,4.609232426,0.180695727,0.088216454,0.155016407,0.542284071,0.039289899,0.010508215,0.00557825,0.202130631,0.007405908,1.771443129,0.004,5.494048119,3.859558105,0.020416845,0.078479007,0.085308164,5.07E-05,0.581584752,0.125718145,0.054475155,0.822431087,0.009
2093,0.079869874,0.141749427,0.055863153,0.415437639,4.982573509,0.133386821,0.100406013,1.259345174,0.020325562,0.011266802,0.038770787,0.062554024,0.247782901,0.014330707,0.935752809,0.001,4.714671135,3.777161837,0.036313903,0.028375557,0.002582259,0.000186556,0.30969891,0.235121652,0.030588353,0.577044189,0.01
